x,y
77.23,107.23
79.8,109.8
72.07,102.07
68.54,98.54
83.81,113.81
85.64,115.64
76.45,106.45
84.98,114.98
65.01,95.01
78.23,108.23
80.13,110.13
14.69,44.69
15.27,45.27
42.63,72.63
49.53,79.53
46.79,76.79
74.02,104.02
68.93,98.93
29.07,59.07
22.66,52.66
13.55,43.55
24.42,54.42
69.63,99.63
68.2,98.2
13.52,43.52
98.18,128.18
96.84,126.84
15.31,45.31
81.15,111.15
7.24,37.24
92.34,122.34
7.59,37.59
86.8,116.8
94.64,124.64
55.48,85.48
94.96,124.96
27.86,57.86
58.08,88.08
66.77,96.77
74.02,104.02
0.44,30.44
24.84,54.84
36.74,66.74
6.16,36.16
8.67,38.67
62.84,92.84
91.14,121.14
38.19,68.19
38.61,68.61
4.54,34.54
7.66,37.66
90.28,120.28
66.28,96.28
14.97,44.97
99.09,129.09
4.32,34.32
28.45,58.45
51.71,81.71
72.04,102.04
92.3,122.3
43.08,73.08
68.79,98.79
21.91,51.91
0.87,30.87
37.19,67.19
34.04,64.04
31.02,61.02
44.61,74.61
14.38,44.38
65.07,95.07
25.28,55.28
57.93,87.93
63.7,93.7
61.95,91.95
25.1,55.1
7.3,37.3
27.96,57.96
56.46,86.46
64.09,94.09
84.8,114.8
82.47,112.47
65.74,95.74
2.2,32.2
79.73,109.73
99.84,129.84
75.87,105.87
99.03,129.03
1.04,31.04
90.77,120.77
44.44,74.44
53.09,83.09
29.2,59.2
8.14,38.14
75.4,105.4
0.36,30.36
44.53,74.53
17.21,47.21
82.1,112.1
10.85,40.85
11.03,41.03
43.62,73.62
4.17,34.17
42.83,72.83
94.99,124.99
38.27,68.27
8.92,38.92
5.91,35.91
72.11,102.11
21.67,51.67
73.32,103.32
89.72,119.72
21.43,51.43
38.87,68.87
57.55,87.55
95.32,125.32
50.51,80.51
40.26,70.26
1.42,31.42
88.47,118.47
60.4,90.4
23.16,53.16
31.47,61.47
24.66,54.66
15.71,45.71
53.25,83.25
25.62,55.62
65.53,95.53
20.46,50.46
17.91,47.91
58.56,88.56
72.98,102.98
41.63,71.63
52.35,82.35
42.7,72.7
18.82,48.82
82.37,112.37
50.63,80.63
26.69,56.69
38.28,68.28
79.5,109.5
91.93,121.93
27.69,57.69
27.88,57.88
7.5,37.5
53.18,83.18
42.09,72.09
12.12,42.12
55.74,85.74
12.73,42.73
47.39,77.39
66.37,96.37
11.89,41.89
25.5,55.5
60.54,90.54
25.38,55.38
51.7,81.7
78.77,108.77
54.8,84.8
67.44,97.44
21.41,51.41
87.89,117.89
30.29,60.29
4.13,34.13
73.32,103.32
30.56,60.56
13.64,43.64
46.86,76.86
43.94,73.94
84.97,114.97
32.25,62.25
51.04,81.04
7.29,37.29
65.26,95.26
17.88,47.88
23.29,53.29
10.81,40.81
2.63,32.63
80.69,110.69
51.33,81.33
87.47,117.47
55.04,85.04
88.24,118.24
55.56,85.56
99.68,129.68
94.33,124.33
32.96,62.96
60.91,90.91
22.09,52.09
25.3,55.3
96.33,126.33
77.88,107.88
8.5,38.5
78.23,108.23
69.41,99.41
30.54,60.54
46.23,76.23
89.37,119.37
29.83,59.83
71.53,101.53
94.35,124.35
45.41,75.41
51.08,81.08
39.44,69.44
82.63,112.63
22.72,52.72
34.75,64.75
23.32,53.32
59.84,89.84
21.32,51.32
95.18,125.18
2.38,32.38
96.41,126.41
31.43,61.43
99.53,129.53
73.88,103.88
80.01,110.01
79.83,109.83
2.96,32.96
25.73,55.73
79.91,109.91
55.94,85.94
73.29,103.29
80.19,110.19
94.29,124.29
51.57,81.57
49.58,79.58
24.75,54.75
7,37
70.5,100.5
17.67,47.67
37.63,67.63
26.82,56.82
79.86,109.86
10.04,40.04
71.33,101.33
64.98,94.98
32.35,62.35
64.04,94.04
45.95,75.95
94.6,124.6
98.9,128.9
40.96,70.96
73.5,103.5
25.03,55.03
52.53,82.53
48.42,78.42
87.03,117.03
36.3,66.3
79.61,109.61
20.66,50.66
62.61,92.61
2.9,32.9
98.68,128.68
6.96,36.96
39.79,69.79
79.05,109.05
52.58,82.58
80.68,110.68
59.72,89.72
16.1,46.1
34.04,64.04
34.17,64.17
19.48,49.48
75.91,105.91
11.1,41.1
77.63,107.63
36.73,66.73
75.41,105.41
23.88,53.88
52.25,82.25
85.09,115.09
87.95,117.95
92.24,122.24
43.9,73.9
1.94,31.94
43.01,73.01
65.13,95.13
3.01,33.01
22.24,52.24
29.85,59.85
16.25,46.25
43.43,73.43
52.04,82.04
2.45,32.45
52.39,82.39
56.02,86.02
96.73,126.73
80.39,110.39
75.89,105.89
83.85,113.85
85.2,115.2
7.88,37.88
80.19,110.19
85.45,115.45
39.31,69.31
46.99,76.99
8.61,38.61
75.77,105.77
9.79,39.79
58.14,88.14
95.44,125.44
88.45,118.45
55.43,85.43
33.69,63.69
6.82,36.82
10.68,40.68
76.72,106.72
61.42,91.42
74.44,104.44
65.51,95.51
64.69,94.69
52.46,82.46
67.71,97.71
96.16,126.16
25.98,55.98
69.79,99.79
80.36,110.36
46.84,76.84
75.33,105.33
27.97,57.97
79.32,109.32
89.43,119.43
63.62,93.62
64.08,94.08
31.31,61.31
47.85,77.85
31.41,61.41
90.41,120.41
19.09,49.09
85.48,115.48
9.35,39.35
78.32,108.32
40.27,70.27
54.85,84.85
36.07,66.07
76.15,106.15
49.07,79.07
38.9,68.9
70.96,100.96
39.03,69.03
33.72,63.72
66.39,96.39
44.04,74.04
33.14,63.14
2.73,32.73
26.45,56.45
37.03,67.03
54,84
63.59,93.59
16.03,46.03
0.31,30.31
25.76,55.76
98.95,128.95
78.4,108.4
40.62,70.62
64.81,94.81
97.67,127.67
25.9,55.9
2.96,32.96
22.47,52.47
92.01,122.01
95.45,125.45
48.19,78.19
7.76,37.76
7.21,37.21
61,91
2.23,32.23
5.47,35.47
71.36,101.36
68.3,98.3
65.41,95.41
45.47,75.47
41.21,71.21
43.77,73.77
91.86,121.86
21.43,51.43
10.75,40.75
70.8,100.8
87.62,117.62
37.35,67.35
75.73,105.73
89.33,119.33
15.56,45.56
37.29,67.29
22.13,52.13
89.49,119.49
50.07,80.07
65.22,95.22
63.93,93.93
94.46,124.46
38.82,68.82
74.84,104.84
54.08,84.08
62.5,92.5
77.25,107.25
16.46,46.46
73.45,103.45
70.4,100.4
94.44,124.44
97.97,127.97
33.23,63.23
81.72,111.72
4.7,34.7
74.68,104.68
72.68,102.68
8.87,38.87
94.28,124.28
27.16,57.16
43.16,73.16
53.48,83.48
51.57,81.57
75.99,105.99
94.41,124.41
72.17,102.17
71.46,101.46
42.4,72.4
40.17,70.17
27.88,57.88
49.06,79.06
14.86,44.86
73.36,103.36
57.78,87.78
84.53,114.53
38.27,68.27
12.74,42.74
14.22,44.22
65.98,95.98
63.38,93.38
37.68,67.68
76.78,106.78
75.28,105.28
69.72,99.72
5.52,35.52
74.35,104.35
59.99,89.99
65.64,95.64
60.07,90.07
34.7,64.7
4.61,34.61
71.23,101.23
57.74,87.74
4.23,34.23
5.29,35.29
25.21,55.21
56.3,86.3
57.39,87.39
85.46,115.46
85.1,115.1
85.89,115.89
11.25,41.25
8.29,38.29
79.22,109.22
59.96,89.96
97.19,127.19
59.92,89.92
7.36,37.36
85.64,115.64
10.47,40.47
70.35,100.35
6.02,36.02
73.95,103.95
81.88,111.88
42.93,72.93
34.71,64.71
5.69,35.69
48.59,78.59
48.1,78.1
30.71,60.71
68.56,98.56
22.53,52.53
16.95,46.95
27.59,57.59
65.14,95.14
75.78,105.78
33.86,63.86
98.93,128.93
83.61,113.61
93.15,123.15
35.08,65.08
83.79,113.79
52.03,82.03
23.64,53.64
18.22,48.22
74.06,104.06
50.25,80.25
21.37,51.37
61.15,91.15
99.61,129.61
96.95,126.95
43.05,73.05
89.28,119.28
79.99,109.99
59.69,89.69
0.52,30.52
49.77,79.77
89.25,119.25
25.92,55.92
81.92,111.92
61.39,91.39
29.09,59.09
23.31,53.31
56.87,86.87
74.59,104.59
11.8,41.8
33.64,63.64
99.49,129.49
1.85,31.85
88.99,118.99
90.98,120.98
59.23,89.23
47.73,77.73
85.64,115.64
30.41,60.41
20.02,50.02
68.23,98.23
15.82,45.82
80.29,110.29
59.94,89.94
92.82,122.82
59.14,89.14
25.35,55.35
71.64,101.64
19.97,49.97
89.04,119.04
53.43,83.43
67.84,97.84
54.76,84.76
15.45,45.45
41.74,71.74
30.68,60.68
68.71,98.71
76.58,106.58
64.96,94.96
47.73,77.73
92.55,122.55
81.52,111.52
51.35,81.35
56.53,86.53
51.51,81.51
59.01,89.01
16.29,46.29
52.83,82.83
97.68,127.68
46.83,76.83
0.02,30.02
26.76,56.76
2.94,32.94
87.1,117.1
36.9,66.9
62.84,92.84
16.87,46.87
5.03,35.03
43.45,73.45
38.04,68.04
76.77,106.77
74.6,104.6
40.12,70.12
49.06,79.06
94.95,124.95
74.31,104.31
54.58,84.58
86.95,116.95
55.69,85.69
22.24,52.24
39.13,69.13
60.57,90.57
18.3,48.3
38.32,68.32
55.98,85.98
13.06,43.06
38.17,68.17
95.59,125.59
18.62,48.62
91.96,121.96
21.7,51.7
81.25,111.25
42.63,72.63
70.76,100.76
11.34,41.34
13.05,43.05
48.79,78.79
86.88,116.88
27.5,57.5
88.77,118.77
64.06,94.06
85.27,115.27
81.98,111.98
84.58,114.58
98.89,128.89
34.99,64.99
92.73,122.73
0.75,30.75
8.61,38.61
19.1,49.1
41.42,71.42
47.89,77.89
83.85,113.85
23.87,53.87
88.54,118.54
94.6,124.6
19.56,49.56
54.48,84.48
67.85,97.85
24.27,54.27
78.18,108.18
51.03,81.03
33.42,63.42
77.69,107.69
40.97,70.97
4.75,34.75
25.01,55.01
11.52,41.52
34.4,64.4
13.79,43.79
6.27,36.27
44,74
83.26,113.26
49.88,79.88
73.05,103.05
52.12,82.12
66.38,96.38
87.42,117.42
3.08,33.08
97.34,127.34
31.67,61.67
66.59,96.59
45.21,75.21
41.9,71.9
76.28,106.28
1.57,31.57
42.25,72.25
43.9,73.9
3.74,33.74
5.85,35.85
12.12,42.12
96.69,126.69
10.84,40.84
63.15,93.15
62.55,92.55
42.63,72.63
28.87,58.87
40.33,70.33
54.09,84.09
18.21,48.21
5.68,35.68
85.82,115.82
17.38,47.38
81.55,111.55
77.85,107.85
84.33,114.33
20.7,50.7
84.73,114.73
86.17,116.17
10.73,40.73
71.83,101.83
29.03,59.03
66.88,96.88
98.13,128.13
30.52,60.52
75.67,105.67
34.35,64.35
89.94,119.94
95.53,125.53
25.2,55.2
40.27,70.27
33.58,63.58
63.6,93.6
90.24,120.24
70.81,100.81
65.9,95.9
5.06,35.06
72.71,102.71
14.98,44.98
25.67,55.67
32.04,62.04
37.97,67.97
47.47,77.47
90.41,120.41
7.68,37.68
65.44,95.44
33.96,63.96
79.75,109.75
72.74,102.74
69.83,99.83
29.13,59.13
81.07,111.07
9.39,39.39
54.28,84.28
58.15,88.15
47.87,77.87
29.2,59.2
23.84,53.84
69.13,99.13
9.92,39.92
84.33,114.33
69.75,99.75
63.33,93.33
50.3,80.3
7.43,37.43
21.08,51.08
63.42,93.42
6.04,36.04
88.8,118.8
10.57,40.57
14.86,44.86
38.78,68.78
8.6,38.6
3.05,33.05
79.64,109.64
61.74,91.74
47.51,77.51
37.02,67.02
22.32,52.32
10.91,40.91
97.4,127.4
97.81,127.81
46.23,76.23
84.68,114.68
56.35,86.35
87.88,117.88
11.47,41.47
74.44,104.44
24.04,54.04
85.92,115.92
95.47,125.47
50.51,80.51
79.61,109.61
56.65,86.65
10.18,40.18
94.11,124.11
16.84,46.84
1.32,31.32
35.24,65.24
76.5,106.5
49.7,79.7
84.58,114.58
2.58,32.58
28.05,58.05
39.27,69.27
1.26,31.26
37.45,67.45
26.01,56.01
72.33,102.33
8.92,38.92
95.21,125.21
12.96,42.96
47.92,77.92
20.09,50.09
74.33,104.33
36.15,66.15
83.59,113.59
5.37,35.37
98.97,128.97
85.91,115.91
95.38,125.38
85.64,115.64
56.06,86.06
96.89,126.89
83.93,113.93
48.8,78.8
22.27,52.27
95.58,125.58
56.49,86.49
92.03,122.03
66.49,96.49
39.22,69.22
17.98,47.98
1,31
80.5,110.5
82.88,112.88
57.92,87.92
68.9,98.9
38.65,68.65
20.49,50.49
58.1,88.1
38.99,68.99
41.65,71.65
82,112
33.81,63.81
23.62,53.62
75.76,105.76
40.42,70.42
30.84,60.84
76.73,106.73
7.81,37.81
66.31,96.31
70.76,100.76
16.91,46.91
8.16,38.16
72.52,102.52
28.13,58.13
70.97,100.97
54.46,84.46
61.94,91.94
45.47,75.47
90.78,120.78
66.08,96.08
12.35,42.35
17.23,47.23
71.21,101.21
61.22,91.22
50.62,80.62
26.52,56.52
57.46,87.46
28.74,58.74
10.49,40.49
62.11,92.11
79.2,109.2
73.06,103.06
19.01,49.01
15.35,45.35
98.03,128.03
19.43,49.43
57.18,87.18
28.71,58.71
56.17,86.17
12.66,42.66
35.83,65.83
73.95,103.95
96.68,126.68
13.12,43.12
72.84,102.84
80.36,110.36
29.96,59.96
41.51,71.51
51.54,81.54
81.96,111.96
74.14,104.14
10.89,40.89
68.18,98.18
2.46,32.46
51.99,81.99
11.65,41.65
75.74,105.74
80.32,110.32
96.6,126.6
66.52,96.52
18.28,48.28
66.88,96.88
66.37,96.37
94.67,124.67
56.35,86.35
74.57,104.57
59.22,89.22
52.15,82.15
46.6,76.6
60.24,90.24
75.58,105.58
47.49,77.49
96.21,126.21
20.45,50.45
39.1,69.1
29.27,59.27
8.94,38.94
97.54,127.54
13.4,43.4
26.77,56.77
85.95,115.95
11.91,41.91
65.8,95.8
41.47,71.47
77.07,107.07
2.25,32.25
21.29,51.29
97.15,127.15
33.93,63.93
90.07,120.07
1.9,31.9
59.48,89.48
18.54,48.54
36.23,66.23
86.61,116.61
28.96,58.96
15.98,45.98
58.71,88.71
45.96,75.96
90.77,120.77
72.45,102.45
40.83,70.83
40.26,70.26
7.74,37.74
42.5,72.5
6.2,36.2
40.97,70.97
57.38,87.38
81.44,111.44
2.14,32.14
47.76,77.76
82.71,112.71
97.74,127.74
57.87,87.87
99.5,129.5
77.02,107.02
39.36,69.36
